"Campaign name","Ad set name","Ad name",Age,Gender,"Result Type",Results,"CTR (all)","Result rate","Amount spent (INR)","Cost per result",Frequency,"CPM (cost per 1,000 impressions)",Impressions,"Clicks (all)","Reporting starts","Reporting ends"
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-No. 1 Franchise Opportunity",35-44,female,"On-Facebook leads",1,1.49425287,0.11494252873563,131.22,131.22,2.0665083135392,150.82758621,870,13,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Video-No. 1 Franchise Opportunity",55-64,male,"On-Facebook leads",1,3.32056194,0.12771392081737,122.08,122.08,2.3871951219512,155.91315453,783,26,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Video-Own a Chicken Store Today",45-54,male,"On-Facebook leads",4,7.90513834,0.5270092226614,146.27,36.5675,3.1106557377049,192.7140975,759,60,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Partner with us today!",45-54,male,,,2.27272727,,78.77,,2.7076923076923,111.88920455,704,16,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",45-54,male,"On-Facebook leads",2,4.17867435,0.28818443804035,127.78,63.89,2.5703703703704,184.12103746,694,29,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",45-54,male,"On-Facebook leads",2,4.06626506,0.30120481927711,124.51,62.255,2.4233576642336,187.51506024,664,27,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-No. 1 Franchise Opportunity",25-34,female,"On-Facebook leads",3,2.85714286,0.50420168067227,82.32,27.44,1.8769716088328,138.35294118,595,17,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Partner with us today!",35-44,male,,,0.55045872,,69.53,,1.2471395881007,127.57798165,545,3,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",45-54,male,"On-Facebook leads",3,6.71641791,0.55970149253731,80.78,26.926666666667,2.144,150.70895522,536,36,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Video-No. 1 Franchise Opportunity",45-54,male,"On-Facebook leads",1,1.71428571,0.19047619047619,114.13,114.13,1.8292682926829,217.39047619,525,9,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",45-54,male,"On-Facebook leads",3,5.91603053,0.57251908396947,85.82,28.606666666667,2.1129032258065,163.77862595,524,31,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",45-54,male,"On-Facebook leads",2,3.08880309,0.38610038610039,78.34,39.17,2.072,151.23552124,518,16,2019-11-01,2019-12-03
